resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,stim2/pa+15.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.109855,1,6,23,2,1
,,,,,,,stim2/pa-20.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.13435,1,7,24,13,1
,,,,,,,stim2/pa+10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.167455,1,8,25,1,1
,,,,,,,stim2/pa-25.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.117185,1,9,26,14,1
,,,,,,,stim2/pa-35.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.134505,1,10,27,16,1
,,,,,,,stim2/pa+30.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.168025,1,11,28,5,1
,,,,,,,stim2/pa+40.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.08896,1,12,29,7,1
,,,,,,,stim2/pa+35.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.20094,1,13,30,6,1
,,,,,,,stim2/pa-10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.150355,1,14,31,11,1
,,,,,,,stim2/pa+45.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.15858,1,15,32,8,1
,,,,,,,stim2/pa+25.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.15911,1,16,33,4,1
,,,,,,,stim2/pa+35.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.19136,2,0,34,6,1
,,,,,,,stim2/pa+50.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.311045,2,1,35,9,1
,,,,,,,stim2/pa+15.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.235365,2,2,36,2,1
,,,,,,,stim2/pa+40.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.151515,2,3,37,7,1
,,,,,,,stim2/pa-30.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.14262,2,4,38,15,1
,,,,,,,stim2/pa-10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.089605,2,5,39,11,1
,,,,,,,stim2/pa+05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.092585,2,6,40,0,1
,,,,,,,stim2/pa-05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.13487,2,7,41,10,1
,,,,,,,stim2/pa-20.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.301055,2,8,42,13,1
,,,,,,,stim2/pa+45.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.44014,2,9,43,8,1
,,,,,,,stim2/pa+30.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.159355,2,10,44,5,1
,,,,,,,stim2/pa+25.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.29155,2,11,45,4,1
,,,,,,,stim2/pa+10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.944945,2,12,46,1,1
,,,,,,,stim2/pa-25.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.13443,2,13,47,14,1
,,,,,,,stim2/pa+20.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.107495,2,14,48,3,1
,,,,,,,stim2/pa-35.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.11797,2,15,49,16,1
,,,,,,,stim2/pa-15.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.077205,2,16,50,12,1
